,imdb_title_id,title,original_title,year,DATE,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,CPI_Multiplier,budget_adj,genre2,oscar,oscar2
7642,tt1232829,21 Jump Street,21 Jump Street,2012,2012,"Action, Comedy, Crime",109,USA,English,"Phil Lord, Christopher Miller","Michael Bacall, Michael Bacall",Columbia Pictures,"Jonah Hill, Channing Tatum, Brie Larson, Dave Franco, Rob Riggle, DeRay Davis, Ice Cube, Dax Flame, Chris Parnell, Ellie Kemper, Jake Johnson, Nick Offerman, Holly Robinson Peete, Johnny Pemberton, Stanley Wong",A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,7.2,502220,42000000,138447667,$ 201585328,69.0,401.0,389.0,1.2047264047003363,50.59850899741413,Comedy,True,True
7646,tt1234719,Red Dawn - Alba rossa,Red Dawn,2012,2012,"Action, Drama",93,USA,"English, Korean",Dan Bradley,"Carl Ellsworth, Jeremy Passmore",FilmDistrict,"Chris Hemsworth, Josh Peck, Josh Hutcherson, Adrianne Palicki, Isabel Lucas, Connor Cruise, Edwin Hodge, Brett Cullen, Alyssa Diaz, Julian Alcaraz, Will Yun Lee, Jeffrey Dean Morgan, Fernando Chien, Kenneth Choi, Matt Gerald",A group of teenagers look to save their town from an invasion of North Korean soldiers.,5.4,72610,65000000,44806783,$ 50950296,31.0,356.0,242.0,1.2047264047003363,78.30721630552186,Action,False,False
7647,tt1234721,RoboCop,RoboCop,2014,2014,"Action, Crime, Sci-Fi",117,USA,"English, Persian, Ukrainian",José Padilha,"Joshua Zetumer, Edward Neumeier",Metro-Goldwyn-Mayer (MGM),"Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish, Jackie Earle Haley, Michael Kenneth Williams, Jennifer Ehle, Jay Baruchel, Marianne Jean-Baptiste, Samuel L. Jackson, Aimee Garcia, Douglas Urbanski, John Paul Ruttan, Patrick Garrow, K.C. Collins","In 2028 Detroit, when Alex Murphy, a loving husband, father and good cop, is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer.",6.1,213760,100000000,58607007,$ 242688965,52.0,704.0,523.0,1.168387759236434,116.8387759236434,Action,True,True
7648,tt1235522,Broken City,Broken City,2013,2013,"Action, Crime, Drama",109,USA,"English, Spanish",Allen Hughes,Brian Tucker,Emmett/Furla/Oasis Films (EFO Films),"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Jeffrey Wright, Barry Pepper, Alona Tal, Natalie Martinez, Michael Beach, Kyle Chandler, James Ransone, Griffin Dunne, Odessa Feaster, Britney Theriot, Luis Tolentino, Tony Bentley","In a city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure: Mayor Nicholas Hostetler.",6.2,75013,35000000,19701164,$ 34737199,49.0,152.0,303.0,1.187316768844465,41.55608690955628,Action,True,True
7655,tt1240982,Sua Maestà,Your Highness,2011,2011,"Adventure, Comedy, Fantasy",102,USA,English,David Gordon Green,"Danny McBride, Ben Best",Universal Pictures,"Danny McBride, James Franco, Rasmus Hardiker, Natalie Portman, Toby Jones, Justin Theroux, Zooey Deschanel, Charles Dance, Damian Lewis, Simon Farnaby, Deobia Oparei, B.J. Hogg, Matyelok Gibbs, Angela Pleasence, Anna Barry","When Prince Fabious's bride is kidnapped, he goes on a quest to rescue her... accompanied by his lazy useless brother Thadeous.",5.5,95806,49900000,21596445,$ 28013733,31.0,302.0,207.0,1.2297214279983357,61.36309925711695,Comedy,True,True
7657,tt1242432,I Spit on Your Grave,I Spit on Your Grave,2010,2011,"Horror, Thriller",108,USA,English,Steven R. Monroe,"Adam Rockoff, Meir Zarchi",Cinetel Films,"Sarah Butler, Jeff Branson, Andrew Howard, Daniel Franzese, Rodney Eastman, Chad Lindberg, Tracey Walter, Mollie Milligan, Saxon Sharbino, Amber Dawn Landrum","A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead.",6.3,74160,2000000,93051,$ 1278650,27.0,282.0,234.0,1.2297214279983357,2.4594428559966715,Horror,False,False
7660,tt1242599,Bellflower,Bellflower,2011,2012,"Action, Drama, Romance",106,USA,English,Evan Glodell,Evan Glodell,Coatwolf Productions,"Evan Glodell, Jessie Wiseman, Tyler Dawson, Rebekah Brandes, Vincent Grashaw, Zack Kraus, Keghan Hurst, Alexandra Boylan, Bradshaw Pruitt, Brian Thomas Evans, Britta Jacobellis, Ceaser Flores, Chris Snyder, Dan Dulle, Jon Huck","Two friends spend all their free time building flame-throwers and weapons of mass destruction in hopes that a global apocalypse will occur and clear the runway for their imaginary gang ""Mother Medusa"".",6.4,7527,17000,168226,$ 172935,72.0,55.0,260.0,1.2047264047003363,0.020480348879905717,Action,False,False
7664,tt1243974,Sotto il cielo delle Hawaii,Aloha,2015,2015,"Comedy, Drama, Romance",105,USA,"English, Hawaiian, Russian",Cameron Crowe,Cameron Crowe,Columbia Pictures,"Bradley Cooper, Emma Stone, Rachel McAdams, Bill Murray, John Krasinski, Danny McBride, Alec Baldwin, Bill Camp, Jaeden Martell, Danielle Rose Russell, Michael Chernus, Edi Gathegi, Dennis Bumpy Kanahele, Elizabeth Marvel, Ivana Milicevic",A celebrated military contractor returns to the site of his greatest career triumphs and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watch-dog assigned to him.,5.4,60915,37000000,21067116,$ 26250020,40.0,261.0,148.0,1.1670049784018754,43.179184200869386,Comedy,True,True
7665,tt1244659,Misure straordinarie,Extraordinary Measures,2010,2010,Drama,106,USA,English,Tom Vaughan,"Robert Nelson Jacobs, Geeta Anand",CBS Films,"Brendan Fraser, Harrison Ford, Keri Russell, Meredith Droeger, Diego Velazquez, Sam M. Hall, Jared Harris, Patrick Bauchau, Alan Ruck, David Clennon, Dee Wallace, Courtney B. Vance, Ayanna Berkshire, P.J. Byrne, Andrea White",A drama centered on the efforts of John and Aileen Crowley to find a researcher who might have a cure for their two children's rare genetic disorder.,6.4,16119,31000000,12068313,$ 15134293,45.0,66.0,129.0,1.2684479244872209,39.32188565910385,Drama,True,True
7666,tt1245492,Facciamola finita,This Is the End,2013,2013,Comedy,107,USA,"English, Spanish","Evan Goldberg, Seth Rogen","Seth Rogen, Evan Goldberg",Columbia Pictures,"James Franco, Jonah Hill, Seth Rogen, Jay Baruchel, Danny McBride, Craig Robinson, Michael Cera, Emma Watson, Mindy Kaling, David Krumholtz, Christopher Mintz-Plasse, Rihanna, Martin Starr, Paul Rudd, Channing Tatum",Six Los Angeles celebrities are stuck in,6.6,378295,32000000,101470202,$ 126041322,67.0,765.0,412.0,1.187316768844465,37.99413660302288,Comedy,True,True
7681,tt1253863,300 - L'alba di un impero,300: Rise of an Empire,2014,2014,"Action, Drama",102,USA,English,Noam Murro,"Zack Snyder, Kurt Johnstad",Warner Bros.,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Callan Mulvey, David Wenham, Rodrigo Santoro, Jack O'Connell, Andrew Tiernan, Igal Naor, Andrew Pleavin, Peter Mensah, Ben Turner, Ashraf Barhom, Christopher Sciueref","Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",6.2,276636,110000000,106580051,$ 337580051,48.0,583.0,386.0,1.168387759236434,128.52265351600775,Action,False,False
7685,tt1259521,Quella casa nel bosco,The Cabin in the Woods,2011,2012,Horror,95,USA,"English, Japanese",Drew Goddard,"Joss Whedon, Drew Goddard",Lionsgate,"Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz, Jesse Williams, Richard Jenkins, Bradley Whitford, Brian White, Amy Acker, Tim DeZarn, Tom Lenk, Dan Payne, Jodelle Ferland, Dan Shea, Maya Massar","Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",7.0,366795,30000000,42073277,$ 69935600,72.0,1210.0,676.0,1.2047264047003363,36.14179214101009,Horror,True,True
7686,tt1259528,Nella tana dei lupi,Den of Thieves,2018,2018,"Action, Crime, Drama",140,USA,"English, Polynesian, Spanish",Christian Gudegast,"Christian Gudegast, Christian Gudegast",Atmosphere Entertainment MM,"Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent, Meadow Williams, Maurice Compte, Brian Van Holt, Evan Jones, Mo McRae, Kaiwi Lyman, Dawn Olivieri, Eric Braeden, Jordan Bridges, Lewis Tan, Cooper Andrews",An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,7.0,88814,30000000,44947622,$ 80509622,49.0,516.0,182.0,1.1015180510075366,33.0455415302261,Action,False,False
7687,tt1259571,The Twilight Saga: New Moon,The Twilight Saga: New Moon,2009,2009,"Adventure, Drama, Fantasy",130,USA,"English, Italian",Chris Weitz,"Melissa Rosenberg, Stephenie Meyer",Temple Hill Entertainment,"Kristen Stewart, Christina Jastrzembska, Robert Pattinson, Billy Burke, Anna Kendrick, Michael Welch, Justin Chon, Christian Serratos, Taylor Lautner, Ashley Greene, Jackson Rathbone, Russell Roberts, Cam Gigandet, Michael Sheen, Jamie Campbell Bower","Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black.",4.7,260695,50000000,297816253,$ 711025481,44.0,960.0,306.0,1.289321610644884,64.46608053224419,Drama,True,True
7694,tt1261945,Sex and the City 2,Sex and the City 2,2010,2010,"Comedy, Drama, Romance",146,USA,"English, Arabic",Michael Patrick King,"Michael Patrick King, Candace Bushnell",New Line Cinema,"Sarah Jessica Parker, Kristin Davis, Cynthia Nixon, Kim Cattrall, Minglie Chen, Chris Noth, David Eigenberg, Evan Handler, Alexandra Fong, Parker Fong, Mario Cantone, Willie Garson, Noah Mills, Liza Minnelli, Billy Stritch","While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.",4.5,72948,100000000,95347692,$ 290745055,27.0,329.0,223.0,1.2684479244872209,126.84479244872209,Comedy,True,True
7697,tt1262416,Scream 4,Scream 4,2011,2011,"Horror, Mystery",111,USA,English,Wes Craven,Kevin Williamson,Dimension Films,"Lucy Hale, Roger Jackson, Shenae Grimes-Beech, Dane Farwell, Anna Paquin, Kristen Bell, Aimee Teegarden, Britt Robertson, Neve Campbell, Alison Brie, David Arquette, Courteney Cox, Hayden Panettiere, Emma Roberts, Marielle Jaffe","Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer.",6.1,125086,40000000,38180928,$ 97231420,52.0,558.0,434.0,1.2297214279983357,49.188857119933424,Horror,True,True
